timestamp,symbol,price
2026-01-01T09:30:00,ABC,100.1394
2026-01-01T09:31:00,ABC,99.6644
2026-01-01T09:32:00,ABC,99.4395
2026-01-01T09:33:00,ABC,99.1627
2026-01-01T09:34:00,ABC,99.3991
2026-01-01T09:35:00,ABC,99.5758
2026-01-01T09:36:00,ABC,99.9680
2026-01-01T09:37:00,ABC,99.5550
2026-01-01T09:38:00,ABC,99.4769
2026-01-01T09:39:00,ABC,99.0067
2026-01-01T09:40:00,ABC,98.7253
2026-01-01T09:41:00,ABC,98.7307
2026-01-01T09:42:00,ABC,98.2572
2026-01-01T09:43:00,ABC,97.9561
2026-01-01T09:44:00,ABC,98.1059
2026-01-01T09:45:00,ABC,98.1509
2026-01-01T09:46:00,ABC,97.8713
2026-01-01T09:47:00,ABC,97.9606
2026-01-01T09:48:00,ABC,98.2700
2026-01-01T09:49:00,ABC,97.7765
2026-01-01T09:50:00,ABC,98.0823
2026-01-01T09:51:00,ABC,98.2805
2026-01-01T09:52:00,ABC,98.1207
2026-01-01T09:53:00,ABC,97.7762
2026-01-01T09:54:00,ABC,98.2334
2026-01-01T09:55:00,ABC,98.0700
2026-01-01T09:56:00,ABC,97.6628
2026-01-01T09:57:00,ABC,97.2595
2026-01-01T09:58:00,ABC,97.6070
2026-01-01T09:59:00,ABC,97.7107
2026-01-01T10:00:00,ABC,98.0178
2026-01-01T10:01:00,ABC,98.2476
2026-01-01T10:02:00,ABC,98.2838
2026-01-01T10:03:00,ABC,98.7569
2026-01-01T10:04:00,ABC,98.6354
2026-01-01T10:05:00,ABC,98.6875
2026-01-01T10:06:00,ABC,99.0169
2026-01-01T10:07:00,ABC,99.1354
2026-01-01T10:08:00,ABC,99.4971
2026-01-01T10:09:00,ABC,99.5745
2026-01-01T10:10:00,ABC,99.7790
2026-01-01T10:11:00,ABC,99.3249
2026-01-01T10:12:00,ABC,99.0527
2026-01-01T10:13:00,ABC,98.8421
2026-01-01T10:14:00,ABC,98.4219
2026-01-01T10:15:00,ABC,98.1547
2026-01-01T10:16:00,ABC,97.7557
2026-01-01T10:17:00,ABC,97.5337
2026-01-01T10:18:00,ABC,97.6694
2026-01-01T10:19:00,ABC,97.5342
2026-01-01T10:20:00,ABC,97.4044
2026-01-01T10:21:00,ABC,97.1139
2026-01-01T10:22:00,ABC,96.8809
2026-01-01T10:23:00,ABC,97.3175
2026-01-01T10:24:00,ABC,97.4656
2026-01-01T10:25:00,ABC,97.5747
2026-01-01T10:26:00,ABC,97.2458
2026-01-01T10:27:00,ABC,97.4750
2026-01-01T10:28:00,ABC,97.1384
2026-01-01T10:29:00,ABC,97.0178
2026-01-01T10:30:00,ABC,97.5073
2026-01-01T10:31:00,ABC,97.6473
2026-01-01T10:32:00,ABC,97.7043
2026-01-01T10:33:00,ABC,97.8889
2026-01-01T10:34:00,ABC,98.2318
2026-01-01T10:35:00,ABC,98.5078
2026-01-01T10:36:00,ABC,98.2368
